,Airline,Source,Destination,Duration,Total_Stops,Additional_Info,Price,Date,Month,Year,Arrival_Hour,Arrival_Min,Dep_Hour,Dep_Min,Duration_total
99,4,2,1,16h 35m,2.0,8,14300.0,12,6,2019,12,35,20,0,995
100,4,3,0,12h 20m,1.0,8,14781.0,15,5,2019,20,45,8,25,740
101,4,3,0,12h 15m,1.0,8,14939.0,9,6,2019,8,15,20,0,735
102,4,2,1,7h 30m,1.0,5,10262.0,24,6,2019,4,25,20,55,450
103,1,3,0,24h,1.0,8,6528.0,12,5,2019,14,35,14,35,1440
104,1,0,2,2h 45m,0.0,8,6121.0,1,5,2019,8,55,6,10,165
105,4,2,1,8h 55m,2.0,5,13029.0,18,5,2019,4,25,19,30,535
106,6,2,1,7h 10m,1.0,8,11421.0,27,3,2019,18,50,11,40,430
107,6,2,1,14h 30m,1.0,8,7574.0,27,3,2019,19,15,4,45,870
108,1,2,1,30h 20m,2.0,8,11596.0,9,5,2019,19,15,12,55,1820
109,4,2,1,19h 55m,2.0,8,15129.0,24,5,2019,19,0,23,5,1195
110,4,0,5,15h,1.0,8,13555.0,18,3,2019,5,5,14,5,900
111,3,0,2,2h 55m,0.0,8,5780.0,12,4,2019,21,50,18,55,175
112,10,3,0,12h 45m,1.0,8,9397.0,12,5,2019,9,5,20,20,765
113,4,2,1,10h 10m,1.0,8,17024.0,6,3,2019,4,25,18,15,610
114,2,2,1,5h 55m,1.0,8,5281.0,27,6,2019,12,55,7,0,355
115,6,2,1,15h 25m,1.0,8,10348.0,18,5,2019,22,30,7,5,925
116,1,2,1,16h 5m,1.0,8,12677.0,6,3,2019,9,25,17,20,965
117,6,2,1,10h 10m,1.0,8,15147.0,3,3,2019,1,35,15,25,610
118,10,0,2,2h 40m,0.0,8,4668.0,12,6,2019,9,40,7,0,160
119,4,2,1,11h 55m,1.0,8,15554.0,9,5,2019,19,0,7,5,715
120,8,0,2,2h 40m,0.0,8,3971.0,9,4,2019,8,35,5,55,160
121,1,4,3,1h 25m,0.0,8,3100.0,3,5,2019,16,25,15,0,85
122,4,3,0,14h 5m,1.0,5,9663.0,6,5,2019,10,5,20,0,845
123,1,2,1,20h 15m,1.0,8,27430.0,1,3,2019,19,15,23,0,1215
124,3,1,4,2h 25m,0.0,8,3540.0,12,5,2019,7,40,5,15,145
125,1,3,0,23h 10m,2.0,8,10676.0,21,5,2019,11,10,12,0,1390
126,4,3,0,18h 10m,1.0,8,13044.0,12,6,2019,8,15,14,5,1090
127,4,3,0,16h,1.0,8,14388.0,6,5,2019,12,0,20,0,960
128,3,0,2,2h 50m,0.0,8,3943.0,24,6,2019,6,50,4,0,170
129,3,1,4,2h 20m,0.0,8,3597.0,3,6,2019,17,5,14,45,140
130,1,0,5,8h,1.0,8,5932.0,21,3,2019,19,50,11,50,480
131,4,2,1,16h 55m,1.0,5,10262.0,15,6,2019,4,25,11,30,1015
132,10,2,1,3h 10m,0.0,8,6216.0,12,5,2019,17,50,14,40,190
133,3,3,0,2h 45m,0.0,8,4804.0,15,6,2019,23,10,20,25,165
134,6,2,1,14h,1.0,8,14067.0,21,5,2019,1,30,11,30,840
135,4,2,1,23h 50m,2.0,8,15129.0,18,5,2019,19,0,19,10,1430
136,4,2,1,21h 40m,2.0,8,13376.0,6,6,2019,4,25,6,45,1300
137,1,2,1,21h 15m,2.0,8,10441.0,27,6,2019,19,15,22,0,1275
138,4,0,2,2h 45m,0.0,5,4030.0,24,5,2019,8,45,6,0,165
139,4,2,1,10h 50m,1.0,8,17024.0,3,3,2019,18,50,8,0,650
140,6,2,1,8h,1.0,8,13017.0,9,4,2019,1,30,17,30,480
141,2,3,0,8h 15m,1.0,8,6686.0,6,6,2019,7,45,23,30,495
142,3,2,1,5h 25m,1.0,8,5636.0,15,6,2019,7,25,2,0,325
143,3,2,1,8h 35m,1.0,8,6442.0,9,6,2019,16,10,7,35,515
144,6,2,1,11h 50m,1.0,8,9486.0,21,5,2019,0,55,13,5,710
145,4,3,0,27h 35m,1.0,5,10844.0,21,5,2019,23,35,20,0,1655
146,4,2,1,8h 25m,2.0,5,15318.0,3,6,2019,4,25,20,0,505
147,1,2,1,20h 55m,1.0,8,5117.0,3,4,2019,9,25,12,30,1255
148,3,2,1,4h 50m,1.0,8,6147.0,24,6,2019,20,0,15,10,290
149,6,2,1,8h 10m,1.0,8,7005.0,9,6,2019,21,0,12,50,490
150,8,3,0,2h 20m,0.0,8,3873.0,3,4,2019,0,40,22,20,140
151,4,2,1,24h 25m,2.0,5,9270.0,21,3,2019,18,50,18,25,1465
152,2,0,2,2h 50m,0.0,8,3898.0,27,6,2019,14,30,11,40,170
153,4,3,0,12h 20m,1.0,8,14781.0,12,5,2019,20,45,8,25,740
154,4,3,0,12h 15m,1.0,5,8586.0,24,5,2019,8,15,20,0,735
155,1,3,0,23h 35m,2.0,8,10697.0,9,5,2019,7,55,8,20,1415
156,4,2,1,16h 35m,2.0,8,14300.0,27,6,2019,12,35,20,0,995
157,3,0,5,2h 50m,0.0,8,8855.0,3,3,2019,21,45,18,55,170
158,4,3,0,25h 45m,1.0,5,10844.0,12,5,2019,18,15,16,30,1545
159,4,2,1,26h 10m,1.0,8,17024.0,6,3,2019,4,25,2,15,1570
160,4,3,0,28h 50m,1.0,5,9314.0,1,5,2019,14,25,9,35,1730
161,3,0,5,2h 45m,0.0,8,4777.0,24,3,2019,3,25,0,40,165
162,1,3,0,25h 15m,1.0,8,7662.0,9,6,2019,13,15,12,0,1515
163,3,2,1,9h 20m,1.0,8,6442.0,9,5,2019,16,10,6,50,560
164,8,2,1,4h 30m,1.0,8,5264.0,12,6,2019,13,15,8,45,270
165,4,2,1,15h 25m,1.0,5,12898.0,27,5,2019,4,25,13,0,925
166,1,4,3,1h 30m,0.0,8,6092.0,3,3,2019,15,25,13,55,90
167,8,0,2,2h 40m,0.0,8,3311.0,21,5,2019,8,35,5,55,160
168,4,2,1,9h 10m,1.0,5,6540.0,27,3,2019,4,25,19,15,550
169,3,0,2,2h 45m,0.0,8,3419.0,27,5,2019,4,15,1,30,165
170,4,2,1,22h 35m,1.0,5,5177.0,3,4,2019,12,35,14,0,1355
171,1,2,1,3h 5m,0.0,8,8246.0,18,4,2019,21,10,18,5,185
172,4,3,0,11h 30m,1.0,8,14676.0,9,6,2019,21,5,9,35,690
173,6,2,1,9h 30m,1.0,8,13587.0,27,6,2019,21,0,11,30,570
174,4,3,0,12h 10m,1.0,5,9663.0,6,5,2019,9,20,21,10,730
175,4,3,0,17h 35m,1.0,8,13044.0,12,6,2019,10,5,16,30,1055
176,3,2,1,5h 5m,1.0,8,5073.0,3,4,2019,1,30,20,25,305
177,10,3,0,25h 50m,1.0,8,9345.0,21,5,2019,18,50,17,0,1550
178,4,3,0,20h,1.0,5,9663.0,6,5,2019,10,5,14,5,1200
179,6,2,1,13h,1.0,8,14277.0,21,5,2019,21,0,8,0,780
180,4,2,1,18h 25m,1.0,5,10262.0,1,6,2019,4,25,10,0,1105
181,4,4,3,1h 30m,0.0,8,5678.0,27,3,2019,21,5,19,35,90
182,6,2,1,9h 30m,1.0,8,13727.0,15,5,2019,1,30,16,0,570
183,4,3,0,16h,1.0,5,9663.0,6,5,2019,12,0,20,0,960
184,3,1,4,2h 20m,0.0,8,3858.0,12,5,2019,17,5,14,45,140
185,8,2,1,4h 30m,1.0,8,4812.0,24,6,2019,13,15,8,45,270
186,3,2,1,5h 45m,1.0,8,5775.0,27,6,2019,3,35,21,50,345
187,4,3,0,24h 10m,1.0,5,10539.0,6,6,2019,9,45,9,35,1450
188,3,3,0,2h 35m,0.0,8,4804.0,3,6,2019,18,5,15,30,155
189,0,0,2,2h 45m,0.0,8,3383.0,12,6,2019,13,55,11,10,165
190,3,0,5,4h 55m,1.0,8,8738.0,3,3,2019,17,5,12,10,295
191,1,2,1,25h 35m,1.0,8,7165.0,27,3,2019,6,50,5,15,1535
192,3,2,1,6h 20m,1.0,8,6412.0,24,6,2019,22,30,16,10,380
193,4,0,2,3h 5m,0.0,8,8016.0,27,6,2019,22,0,18,55,185
194,4,0,5,18h 40m,1.0,5,11087.0,12,3,2019,15,15,20,35,1120
195,8,1,4,2h 15m,0.0,7,3543.0,27,6,2019,12,0,9,45,135
196,4,3,0,12h 10m,1.0,8,12471.0,12,6,2019,4,40,16,30,730
197,4,2,1,19h 25m,1.0,5,10262.0,24,6,2019,4,25,9,0,1165
198,1,0,5,2h 50m,0.0,8,4441.0,18,3,2019,16,10,13,20,170
199,6,2,1,8h 25m,1.0,8,12537.0,27,3,2019,15,30,7,5,505
200,2,3,0,9h 15m,1.0,8,10091.0,24,3,2019,7,40,22,25,555
201,1,0,2,2h 50m,0.0,8,6961.0,3,6,2019,23,55,21,5,170
202,3,2,1,3h 15m,0.0,8,5013.0,24,4,2019,8,50,5,35,195
203,1,2,1,2h 50m,0.0,8,6934.0,18,5,2019,8,0,5,10,170
204,6,2,1,12h 20m,1.0,8,10877.0,3,6,2019,19,0,6,40,740
205,4,0,2,2h 55m,0.0,8,7229.0,18,4,2019,18,10,15,15,175
206,3,2,1,9h 35m,1.0,8,7048.0,27,3,2019,1,35,16,0,575
207,10,0,2,2h 35m,0.0,8,4878.0,27,6,2019,19,35,17,0,155
208,4,3,0,9h 30m,1.0,5,10844.0,21,5,2019,23,35,14,5,570
209,4,2,1,29h 20m,2.0,8,15129.0,18,5,2019,4,25,23,5,1760
210,3,0,2,2h 55m,0.0,8,3943.0,12,5,2019,3,25,0,30,175
211,8,2,1,5h 15m,1.0,8,5583.0,6,6,2019,11,20,6,5,315
212,6,2,1,9h 5m,1.0,8,9646.0,6,6,2019,16,10,7,5,545
213,6,2,1,10h 45m,1.0,8,7677.0,3,6,2019,19,15,8,30,645
214,3,2,1,4h 55m,1.0,8,6842.0,1,6,2019,10,5,5,10,295
215,4,4,3,1h 30m,0.0,5,4995.0,24,6,2019,10,15,8,45,90
216,10,3,0,11h 40m,1.0,8,9555.0,9,6,2019,18,50,7,10,700
217,3,0,2,2h 45m,0.0,8,4077.0,1,6,2019,4,15,1,30,165
218,4,0,2,2h 55m,0.0,8,7229.0,12,5,2019,18,10,15,15,175
219,6,2,1,10h,1.0,8,12192.0,9,6,2019,19,0,9,0,600
220,1,0,2,2h 45m,0.0,8,5911.0,12,4,2019,12,45,10,0,165
221,1,2,1,10h 15m,1.0,8,8372.0,12,6,2019,19,15,9,0,615
222,4,4,3,1h 25m,0.0,5,4995.0,18,3,2019,8,35,7,10,85
223,6,2,1,9h 15m,1.0,8,14323.0,9,5,2019,19,15,10,0,555
224,4,2,1,22h 55m,2.0,8,13014.0,9,6,2019,4,25,5,30,1375
225,1,2,1,28h 50m,2.0,8,13591.0,6,6,2019,19,15,14,25,1730
226,4,2,1,37h 25m,2.0,8,18799.0,3,3,2019,18,50,5,25,2245
227,3,0,2,2h 50m,0.0,8,3943.0,27,4,2019,2,20,23,30,170
228,8,4,3,1h 30m,0.0,7,1965.0,21,5,2019,7,15,5,45,90
229,4,4,3,1h 30m,0.0,5,4995.0,27,5,2019,11,50,10,20,90
230,1,3,0,25h 40m,1.0,8,14641.0,24,3,2019,18,30,16,50,1540
231,1,3,0,2h 35m,0.0,8,4460.0,12,4,2019,23,20,20,45,155
232,1,2,1,6h 15m,1.0,8,10191.0,18,5,2019,19,15,13,0,375
233,4,2,1,17h 30m,1.0,5,13843.0,9,3,2019,19,45,2,15,1050
234,3,2,1,5h 45m,1.0,8,6349.0,1,5,2019,3,35,21,50,345
235,0,3,0,2h 35m,0.0,8,4409.0,1,5,2019,12,55,10,20,155
236,4,2,1,25h 30m,1.0,8,17024.0,6,3,2019,19,45,18,15,1530
237,6,2,1,13h 55m,1.0,8,13727.0,18,5,2019,21,0,7,5,835
238,3,0,5,2h 55m,0.0,8,8855.0,15,3,2019,21,20,18,25,175
239,6,2,1,10h 15m,1.0,8,12524.0,24,6,2019,19,0,8,45,615
240,4,0,5,8h 40m,1.0,8,13555.0,18,3,2019,20,20,11,40,520
241,4,3,0,5h 30m,1.0,5,10844.0,6,6,2019,12,0,6,30,330
242,6,2,1,12h,1.0,8,13587.0,9,6,2019,21,0,9,0,720
243,8,1,4,2h 15m,0.0,7,3543.0,12,6,2019,12,0,9,45,135
244,10,1,4,2h 15m,0.0,8,4842.0,18,3,2019,9,20,7,5,135
245,3,0,2,2h 50m,0.0,8,3943.0,24,4,2019,2,20,23,30,170
246,4,2,1,9h 10m,1.0,5,10577.0,9,6,2019,4,25,19,15,550
247,3,2,1,10h 25m,1.0,8,6979.0,15,5,2019,21,0,10,35,625
248,10,1,4,2h 20m,0.0,8,11982.0,27,6,2019,20,5,17,45,140
249,8,2,1,4h 30m,1.0,8,5264.0,6,6,2019,13,15,8,45,270
250,10,2,1,3h 10m,0.0,8,8001.0,3,3,2019,9,10,6,0,190
251,1,2,1,23h 30m,2.0,8,10651.0,1,6,2019,19,15,19,45,1410
252,4,3,0,27h 20m,1.0,5,10844.0,24,5,2019,19,50,16,30,1640
253,6,2,1,12h 35m,1.0,8,6601.0,27,3,2019,22,20,9,45,755
254,1,2,1,24h 15m,1.0,8,6587.0,21,3,2019,19,15,19,0,1455
255,8,4,3,1h 20m,0.0,8,3173.0,21,3,2019,14,30,13,10,80
256,1,0,2,2h 45m,0.0,8,5228.0,9,5,2019,12,45,10,0,165
257,4,0,2,3h,0.0,5,5769.0,21,6,2019,10,10,7,10,180
258,4,2,1,11h,1.0,8,14714.0,6,6,2019,19,0,8,0,660
259,4,2,1,13h 30m,2.0,8,13014.0,3,6,2019,19,0,5,30,810
260,3,0,2,2h 50m,0.0,8,3359.0,3,6,2019,1,0,22,10,170
261,2,0,5,2h 55m,0.0,8,6722.0,3,3,2019,23,50,20,55,175
262,3,3,0,2h 45m,0.0,8,4462.0,18,3,2019,12,20,9,35,165
263,3,2,1,11h 15m,1.0,8,6171.0,9,3,2019,16,10,4,55,675
264,1,3,0,14h 35m,2.0,8,12303.0,21,5,2019,20,25,5,50,875
265,6,2,1,13h 55m,1.0,8,7695.0,21,3,2019,1,35,11,40,835
266,3,2,1,14h 5m,1.0,8,5684.0,24,6,2019,1,30,11,25,845
267,1,3,0,15h 5m,1.0,8,8366.0,12,6,2019,7,55,16,50,905
268,1,1,4,2h 15m,0.0,8,19630.0,1,3,2019,13,55,11,40,135
269,4,0,5,15h,1.0,5,13502.0,6,3,2019,5,5,14,5,900
270,4,3,0,12h 55m,1.0,8,14781.0,1,5,2019,10,5,21,10,775
271,6,2,1,9h,1.0,8,6513.0,12,6,2019,16,10,7,10,540
272,1,2,1,12h 15m,1.0,8,9929.0,1,6,2019,19,15,7,0,735
273,6,2,1,7h 40m,2.0,8,18275.0,6,6,2019,1,30,17,50,460
274,1,2,1,27h 20m,1.0,8,4487.0,9,4,2019,9,25,6,5,1640
275,3,4,3,1h 25m,0.0,8,2754.0,15,3,2019,22,45,21,20,85
276,1,4,3,1h 20m,0.0,8,2575.0,27,3,2019,7,40,6,20,80
277,8,3,0,5h 30m,1.0,8,8224.0,12,6,2019,21,25,15,55,330
278,1,2,1,11h 45m,1.0,8,8991.0,9,3,2019,8,15,20,30,705
279,3,2,1,3h 15m,0.0,8,5000.0,24,6,2019,8,50,5,35,195
280,4,3,0,24h 55m,1.0,5,8529.0,12,6,2019,19,50,18,55,1495
281,1,2,1,27h 20m,1.0,8,14042.0,3,3,2019,9,25,6,5,1640
282,4,0,2,2h 55m,0.0,5,4030.0,24,5,2019,14,5,11,10,175
283,4,3,0,17h 5m,1.0,5,10844.0,6,6,2019,12,0,18,55,1025
284,3,3,0,2h 40m,0.0,8,4804.0,6,5,2019,0,5,21,25,160
285,6,2,1,8h,1.0,5,7308.0,27,5,2019,1,30,17,30,480
286,3,0,2,3h,0.0,8,4823.0,12,5,2019,19,55,16,55,180
287,4,2,1,27h 35m,1.0,5,10262.0,24,6,2019,12,35,9,0,1655
288,4,2,1,7h 30m,1.0,5,12898.0,27,5,2019,4,25,20,55,450
289,1,0,5,22h 55m,2.0,8,12778.0,12,3,2019,16,20,17,25,1375
290,3,2,1,8h 35m,1.0,8,14871.0,3,3,2019,13,20,4,45,515
291,1,2,1,29h 55m,2.0,8,8708.0,21,3,2019,19,15,13,20,1795
292,4,3,0,22h 15m,1.0,5,10844.0,6,6,2019,18,15,20,0,1335
293,8,4,3,1h 20m,0.0,8,4129.0,6,3,2019,7,5,5,45,80
294,3,3,0,2h 40m,0.0,8,4804.0,18,5,2019,0,5,21,25,160
295,4,0,2,3h,0.0,8,7229.0,6,5,2019,11,20,8,20,180
296,4,0,5,12h 10m,1.0,5,7832.0,21,3,2019,19,10,7,0,730
297,8,1,4,2h 35m,0.0,8,3859.0,18,3,2019,12,5,9,30,155
298,6,2,1,11h 45m,1.0,8,9001.0,6,6,2019,19,15,7,30,705
299,10,0,2,2h 35m,0.0,8,4878.0,9,5,2019,19,35,17,0,155
300,3,4,3,1h 30m,0.0,8,2754.0,3,5,2019,4,5,2,35,90
301,10,0,2,2h 40m,0.0,8,4668.0,27,6,2019,9,40,7,0,160
302,0,3,0,2h 35m,0.0,8,5216.0,12,5,2019,12,55,10,20,155
303,4,2,1,22h 55m,2.0,5,10368.0,6,6,2019,4,25,5,30,1375
304,3,2,1,14h 40m,2.0,8,8146.0,9,3,2019,21,20,6,40,880
305,4,2,1,15h 25m,1.0,8,12242.0,27,3,2019,4,25,13,0,925
306,4,0,5,7h 15m,1.0,5,9134.0,15,3,2019,15,15,8,0,435
307,1,2,1,20h 10m,2.0,8,10939.0,6,6,2019,9,25,13,15,1210
308,1,2,1,20h 45m,2.0,8,11753.0,6,6,2019,7,40,10,55,1245
309,8,3,0,2h 30m,0.0,8,4174.0,24,4,2019,19,40,17,10,150
310,4,3,0,23h 50m,1.0,5,10844.0,21,5,2019,19,50,20,0,1430
311,4,2,1,27h,1.0,8,14714.0,3,6,2019,19,0,16,0,1620
312,4,3,0,5h 30m,1.0,5,9899.0,12,6,2019,12,0,6,30,330
313,3,2,1,11h 50m,1.0,8,14871.0,3,3,2019,21,0,9,10,710
314,3,1,4,2h 15m,0.0,8,7295.0,6,3,2019,15,35,13,20,135
315,1,2,1,24h 30m,2.0,8,13465.0,6,6,2019,19,15,18,45,1470
316,8,1,4,2h 20m,0.0,7,3543.0,21,5,2019,20,5,17,45,140
317,6,2,1,6h 30m,1.0,8,7198.0,27,6,2019,1,30,19,0,390
318,4,2,1,20h 25m,1.0,5,10262.0,1,6,2019,4,25,8,0,1225
319,3,3,0,2h 35m,0.0,8,4148.0,15,3,2019,17,55,15,20,155
320,4,0,2,2h 55m,0.0,8,8016.0,27,6,2019,18,10,15,15,175
321,4,2,1,5h 35m,1.0,5,10262.0,9,6,2019,4,25,22,50,335
322,8,3,0,2h 30m,0.0,7,3841.0,15,6,2019,17,25,14,55,150
323,4,0,5,14h 45m,1.0,8,11507.0,12,3,2019,0,30,9,45,885
324,4,3,0,12h 20m,1.0,8,14781.0,1,5,2019,20,45,8,25,740
325,4,2,1,25h 30m,1.0,8,16079.0,27,5,2019,19,0,17,30,1530
326,4,2,1,5h 35m,1.0,5,12898.0,27,5,2019,4,25,22,50,335
327,6,2,1,11h 45m,1.0,8,15353.0,6,3,2019,19,15,7,30,705
328,3,0,5,2h 55m,0.0,8,7303.0,24,3,2019,21,20,18,25,175
